"doi","Title","Abstract","Keywords","Journal","text_combined"
"""10.4007/annals.2023.198.2.7""","""Wall crossing for moduli of stable log pairs""","""We prove, under suitable conditions, that there exist wall-crossing and reduction morphisms for moduli spaces of stable log pairs in all dimensions as one varies the coefficients of the divisor.""","""minimal model program"", ""moduli spaces"", ""varieties of log general type""","AOM","""Wall crossing for moduli of stable log pairs""""We prove, under suitable conditions, that there exist wall-crossing and reduction morphisms for moduli spaces of stable log pairs in all dimensions as one varies the coefficients of the divisor.""""minimal model program"", ""moduli spaces"", ""varieties of log general type"""
"""10.4007/annals.2023.198.2.6""","""Near optimal spectral gaps for hyperbolic surfaces""","""We prove that if $X$ is a finite area non-compact hyperbolic surface, then for any $\\epsilon >0$, with probability tending to one as $n\\to \\infty$, a uniformly random degree $n$ Riemannian cover of $X$ has no eigenvalues of the Laplacian in $[0,\\frac{1}{4}-\\epsilon)$ other than those of $X$, and with the same multiplicities. As a result, using a compactification procedure due to Buser, Burger, and Dodziuk, we settle in the affirmative the question of whether there exists a sequence of closed hyperbolic surfaces with genera tending to infinity and first non-zero eigenvalue of the Laplacian tending to $\\frac{1}{4}$.""","""hyperbolic surface"", ""random covering space"", ""small eigenvalues"", ""spectral gap""","AOM","""Near optimal spectral gaps for hyperbolic surfaces""""We prove that if $X$ is a finite area non-compact hyperbolic surface, then for any $\\epsilon >0$, with probability tending to one as $n\\to \\infty$, a uniformly random degree $n$ Riemannian cover of $X$ has no eigenvalues of the Laplacian in $[0,\\frac{1}{4}-\\epsilon)$ other than those of $X$, and with the same multiplicities. As a result, using a compactification procedure due to Buser, Burger, and Dodziuk, we settle in the affirmative the question of whether there exists a sequence of closed hyperbolic surfaces with genera tending to infinity and first non-zero eigenvalue of the Laplacian tending to $\\frac{1}{4}$.""""hyperbolic surface"", ""random covering space"", ""small eigenvalues"", ""spectral gap"""
"""10.4007/annals.2023.198.2.1""","""The Frobenius structure theorem for affine log Calabi-Yau varieties containing a torus""","""Let $U$ be an affine log Calabi-Yau variety containing an open algebraic torus. We show that the naive counts of rational curves in $U$ uniquely determine a commutative associative algebra equipped with a compatible multilinear form. This proves a variant of the Frobenius structure conjecture by Gross-Hacking-Keel in mirror symmetry, and the spectrum of this algebra is supposed to give the hypothetical mirror family. Although the statement of our theorem involves only elementary algebraic geometry, our proof employs Berkovich non-archimedean analytic methods. We construct the structure constants of the algebra via counting non-archimedean analytic disks in the analytification of $U$. We establish various properties of the counting, notably deformation invariance, symmetry, gluing formula and convexity. In the special case when $U$ is a Fock-Goncharov skew-symmetric X-cluster variety, we prove that our algebra generalizes, and gives a direct geometric construction of, the mirror algebra of Gross-Hacking-Keel-Kontsevich. The comparison is proved via a canonical scattering diagram constructed from counts of infinitesimal non-archimedean analytic cylinders, without using the Kontsevich-Soibelman algorithm. Several combinatorial conjectures of GHKK, as well as the positivity in the Laurent phenomenon, follow readily from the geometric description.""","""broken lines"", ""cluster algebra"", ""Frobenius structure"", ""log Calabi-Yau"", ""mirror symmetry"", ""non-Archimedean geometry"", ""rigid analytic geometry"", ""scattering diagram"", ""skeletal curve"", ""wall-crossing""","AOM","""The Frobenius structure theorem for affine log Calabi-Yau varieties containing a torus""""Let $U$ be an affine log Calabi-Yau variety containing an open algebraic torus. We show that the naive counts of rational curves in $U$ uniquely determine a commutative associative algebra equipped with a compatible multilinear form. This proves a variant of the Frobenius structure conjecture by Gross-Hacking-Keel in mirror symmetry, and the spectrum of this algebra is supposed to give the hypothetical mirror family. Although the statement of our theorem involves only elementary algebraic geometry, our proof employs Berkovich non-archimedean analytic methods. We construct the structure constants of the algebra via counting non-archimedean analytic disks in the analytification of $U$. We establish various properties of the counting, notably deformation invariance, symmetry, gluing formula and convexity. In the special case when $U$ is a Fock-Goncharov skew-symmetric X-cluster variety, we prove that our algebra generalizes, and gives a direct geometric construction of, the mirror algebra of Gross-Hacking-Keel-Kontsevich. The comparison is proved via a canonical scattering diagram constructed from counts of infinitesimal non-archimedean analytic cylinders, without using the Kontsevich-Soibelman algorithm. Several combinatorial conjectures of GHKK, as well as the positivity in the Laurent phenomenon, follow readily from the geometric description.""""broken lines"", ""cluster algebra"", ""Frobenius structure"", ""log Calabi-Yau"", ""mirror symmetry"", ""non-Archimedean geometry"", ""rigid analytic geometry"", ""scattering diagram"", ""skeletal curve"", ""wall-crossing"""
"""10.4007/annals.2023.198.2.2""","""A proof of the Erdős--Faber--Lovász conjecture""","""The Erdős--Faber--Lovász conjecture (posed in 1972) states that the chromatic index of any linear hypergraph on $n$ vertices is at most $n$. In this paper, we prove this conjecture for every large $n$. We also provide stability versions of this result, which confirm a prediction of Kahn.""","""absorption"", ""chromatic index"", ""Graph coloring"", ""hypergraph edge coloring"", ""nibble""","AOM","""A proof of the Erdős--Faber--Lovász conjecture""""The Erdős--Faber--Lovász conjecture (posed in 1972) states that the chromatic index of any linear hypergraph on $n$ vertices is at most $n$. In this paper, we prove this conjecture for every large $n$. We also provide stability versions of this result, which confirm a prediction of Kahn.""""absorption"", ""chromatic index"", ""Graph coloring"", ""hypergraph edge coloring"", ""nibble"""
"""10.4007/annals.2023.198.2.5""","""Compact moduli of K3 surfaces""","""We construct geometric compactifications of the moduli space $F_{2d}$ of polarized K3 surfaces in any degree $2d$. Our construction is via KSBA theory, by considering canonical choices of divisor $R\\in |nL|$ on each polarized K3 surface $(X,L)\\in F_{2d}$. The main new notion is that of a recognizable divisor $R$, a choice which can be consistently extended to all central fibers of Kulikov models. We prove that any choice of recognizable divisor leads to a semitoroidal compactification of the period space, at least up to normalization. Finally, we prove that the rational curve divisor is recognizable for all degrees.""","""K3 surfaces"", ""KSBA compactification"", ""moduli spaces""","AOM","""Compact moduli of K3 surfaces""""We construct geometric compactifications of the moduli space $F_{2d}$ of polarized K3 surfaces in any degree $2d$. Our construction is via KSBA theory, by considering canonical choices of divisor $R\\in |nL|$ on each polarized K3 surface $(X,L)\\in F_{2d}$. The main new notion is that of a recognizable divisor $R$, a choice which can be consistently extended to all central fibers of Kulikov models. We prove that any choice of recognizable divisor leads to a semitoroidal compactification of the period space, at least up to normalization. Finally, we prove that the rational curve divisor is recognizable for all degrees.""""K3 surfaces"", ""KSBA compactification"", ""moduli spaces"""
"""10.4007/annals.2023.198.1.2""","""Transversality and super-rigidity for multiply covered holomorphic curves""","""We develop new techniques to study regularity questions for moduli spaces of pseudoholomorphic curves that are multiply covered. Among the main results, we show that unbranched multiple covers of closed holomorphic curves are generically regular, and simple index $0$ curves in dimensions greater than four are generically super-rigid, implying, e.g., that the Gromov-Witten invariants of Calabi-Yau $3$-folds reduce to sums of local invariants for finite sets of embedded curves. We also establish partial results on super-rigidity in dimension four and regularity of branched covers, and briefly discuss the outlook for bifurcation analysis. The proofs are based on a general stratification result for moduli spaces of multiple covers, framed in terms of a representation-theoretic splitting of Cauchy-Riemann operators with symmetries.""","""Calabi-Yau manifolds"", ""Gromov-Witten invariants"", ""holomorphic curves"", ""super-rigidity"", ""transversality""","AOM","""Transversality and super-rigidity for multiply covered holomorphic curves""""We develop new techniques to study regularity questions for moduli spaces of pseudoholomorphic curves that are multiply covered. Among the main results, we show that unbranched multiple covers of closed holomorphic curves are generically regular, and simple index $0$ curves in dimensions greater than four are generically super-rigid, implying, e.g., that the Gromov-Witten invariants of Calabi-Yau $3$-folds reduce to sums of local invariants for finite sets of embedded curves. We also establish partial results on super-rigidity in dimension four and regularity of branched covers, and briefly discuss the outlook for bifurcation analysis. The proofs are based on a general stratification result for moduli spaces of multiple covers, framed in terms of a representation-theoretic splitting of Cauchy-Riemann operators with symmetries.""""Calabi-Yau manifolds"", ""Gromov-Witten invariants"", ""holomorphic curves"", ""super-rigidity"", ""transversality"""
"""10.4007/annals.2023.198.1.4""","""On $L^\\infty$ estimates for complex Monge-Ampère equations""","""A PDE proof is provided for the sharp $L^\\infty$ estimates for the complex Monge-Ampère equation that had required pluripotential theory before. The proof covers both cases of fixed background as well as degenerating background metrics. It extends to more general fully non-linear equations satisfying a structural condition, and it also gives estimates of Trudinger type.""","""auxiliary equations"", ""energy and entropy estimates"", ""fully non-linear equations"", ""test function for comparison""","AOM","""On $L^\\infty$ estimates for complex Monge-Ampère equations""""A PDE proof is provided for the sharp $L^\\infty$ estimates for the complex Monge-Ampère equation that had required pluripotential theory before. The proof covers both cases of fixed background as well as degenerating background metrics. It extends to more general fully non-linear equations satisfying a structural condition, and it also gives estimates of Trudinger type.""""auxiliary equations"", ""energy and entropy estimates"", ""fully non-linear equations"", ""test function for comparison"""
"""10.4007/annals.2023.198.1.1""","""Pseudorandom sets in Grassmann graph have near-perfect expansion""","""We prove that pseudorandom sets in Grassmann graph have near-perfect expansion. This completes the proof of the $2$-to-$2$ Games Conjecture (albeit with imperfect completeness). Some implications of this new result are improved hardness results for Minimum Vertex Cover, improving on the work of Dinur and Safra [Ann. of Math. ${\\bf 162}$ (2005), 439--485], and new hardness gaps for Unique-Games. The Grassmann graph ${\\sf Gr}_{\\sf{global}}$ contains induced subgraphs ${\\sf Gr}_{\\sf{local}}$ that are themselves isomorphic to Grassmann graphs of lower orders. A set is called pseudorandom if its density is $o(1)$ inside all subgraphs ${\\sf Gr}_{\\sf{local}}$ whose order is $O(1)$ lower than that of ${\\sf Gr}_{\\sf{global}}$. We prove that pseudorandom sets have expansion $1-o(1)$, greatly extending the results and techniques of a previous work of the authors with Dinur and Kindler.""","""hypercontractivity"", ""probabilistically checkable proofs"", ""small-set expansion"", ""unique-games conjecture""","AOM","""Pseudorandom sets in Grassmann graph have near-perfect expansion""""We prove that pseudorandom sets in Grassmann graph have near-perfect expansion. This completes the proof of the $2$-to-$2$ Games Conjecture (albeit with imperfect completeness). Some implications of this new result are improved hardness results for Minimum Vertex Cover, improving on the work of Dinur and Safra [Ann. of Math. ${\\bf 162}$ (2005), 439--485], and new hardness gaps for Unique-Games. The Grassmann graph ${\\sf Gr}_{\\sf{global}}$ contains induced subgraphs ${\\sf Gr}_{\\sf{local}}$ that are themselves isomorphic to Grassmann graphs of lower orders. A set is called pseudorandom if its density is $o(1)$ inside all subgraphs ${\\sf Gr}_{\\sf{local}}$ whose order is $O(1)$ lower than that of ${\\sf Gr}_{\\sf{global}}$. We prove that pseudorandom sets have expansion $1-o(1)$, greatly extending the results and techniques of a previous work of the authors with Dinur and Kindler.""""hypercontractivity"", ""probabilistically checkable proofs"", ""small-set expansion"", ""unique-games conjecture"""
"""10.4007/annals.2023.198.1.3""","""Naked singularities for the Einstein vacuum equations: The exterior solution""","""In this work we initiate the mathematical study of naked singularities for the Einstein vacuum equations in $3+1$ dimensions by constructing solutions which correspond to the exterior region of a naked singularity. A key element is our introduction of a new type of self-similarity for the Einstein vacuum equations. Connected to this is a new geometric twisting phenomenon which plays the leading role in singularity formation. Prior to this work, the only known examples of naked singularities were the solutions constructed by Christodoulou for the spherically symmetric Einstein-scalar-field system, as well as other solutions explored numerically for either the spherically symmetric Einstein equations coupled to suitable matter models or for the Einstein equations in higher dimensions.""","""naked singularity"", ""singularity"", ""weak cosmic censorship""","AOM","""Naked singularities for the Einstein vacuum equations: The exterior solution""""In this work we initiate the mathematical study of naked singularities for the Einstein vacuum equations in $3+1$ dimensions by constructing solutions which correspond to the exterior region of a naked singularity. A key element is our introduction of a new type of self-similarity for the Einstein vacuum equations. Connected to this is a new geometric twisting phenomenon which plays the leading role in singularity formation. Prior to this work, the only known examples of naked singularities were the solutions constructed by Christodoulou for the spherically symmetric Einstein-scalar-field system, as well as other solutions explored numerically for either the spherically symmetric Einstein equations coupled to suitable matter models or for the Einstein equations in higher dimensions.""""naked singularity"", ""singularity"", ""weak cosmic censorship"""
"""10.4007/annals.2023.197.3.1""","""Existence of infinitely many minimal hypersurfaces in closed manifolds""","""Using min-max theory, we show that in any closed Riemannian manifold of dimension at least $3$ and at most $7$, there exist infinitely many smoothly embedded closed minimal hypersurfaces. It proves a conjecture of S.-T. Yau. This paper builds on the methods developed by F. C. Marques and A. Neves.""","""minimal surface"", ""min-max theory"", ""widths""","AOM","""Existence of infinitely many minimal hypersurfaces in closed manifolds""""Using min-max theory, we show that in any closed Riemannian manifold of dimension at least $3$ and at most $7$, there exist infinitely many smoothly embedded closed minimal hypersurfaces. It proves a conjecture of S.-T. Yau. This paper builds on the methods developed by F. C. Marques and A. Neves.""""minimal surface"", ""min-max theory"", ""widths"""
"""10.4007/annals.2023.197.3.2""","""Potential automorphy over CM fields""","""Let $F$ be a CM number field. We prove modularity lifting theorems for regular $n$-dimensional Galois representations over $F$ without any self-duality condition. We deduce that all elliptic curves $E$ over $F$ are potentially modular, and furthermore satisfy the Sato--Tate conjecture. As an application of a different sort, we also prove the Ramanujan Conjecture for weight zero cuspidal automorphic representations for $\\mathrm{GL}_2(\\mathbb{A}_F)$.""","""automorphic forms"", ""Galois representations""","AOM","""Potential automorphy over CM fields""""Let $F$ be a CM number field. We prove modularity lifting theorems for regular $n$-dimensional Galois representations over $F$ without any self-duality condition. We deduce that all elliptic curves $E$ over $F$ are potentially modular, and furthermore satisfy the Sato--Tate conjecture. As an application of a different sort, we also prove the Ramanujan Conjecture for weight zero cuspidal automorphic representations for $\\mathrm{GL}_2(\\mathbb{A}_F)$.""""automorphic forms"", ""Galois representations"""
